id,tier,layer,expert,early_only_runs,active_runs,total_early_count,total_later_count,evictable_human_after_prefix,trim_decision,personal_classification
L01.E017,tier_3_never_active,1,17,0,0,0,0,3.19 MiB,trim_ablation_candidate,globally_dead
L01.E019,tier_3_never_active,1,19,0,0,0,0,3.19 MiB,trim_ablation_candidate,globally_dead
L01.E058,tier_3_never_active,1,58,0,0,0,0,3.19 MiB,keep,ordinary
L01.E063,tier_3_never_active,1,63,0,0,0,0,3.19 MiB,trim_ablation_candidate,globally_dead
L01.E075,tier_3_never_active,1,75,0,0,0,0,3.19 MiB,trim_ablation_candidate,globally_dead
L01.E126,tier_3_never_active,1,126,0,0,0,0,3.19 MiB,keep,low_use_merge_candidate
L02.E021,tier_3_never_active,2,21,0,0,0,0,3.19 MiB,keep,low_use_merge_candidate
L02.E022,tier_3_never_active,2,22,0,0,0,0,3.19 MiB,needs_more_data,globally_dead
L02.E030,tier_3_never_active,2,30,0,0,0,0,3.19 MiB,keep,ordinary
L02.E089,tier_3_never_active,2,89,0,0,0,0,3.19 MiB,trim_ablation_candidate,globally_dead
L02.E101,tier_3_never_active,2,101,0,0,0,0,3.19 MiB,keep,ordinary
L03.E007,tier_3_never_active,3,7,0,0,0,0,3.19 MiB,keep,ordinary
L03.E037,tier_3_never_active,3,37,0,0,0,0,3.19 MiB,keep,low_use_merge_candidate
L03.E041,tier_3_never_active,3,41,0,0,0,0,3.19 MiB,trim_watchlist_cold,globally_dead
L03.E048,tier_3_never_active,3,48,0,0,0,0,3.19 MiB,keep,ordinary
L03.E050,tier_3_never_active,3,50,0,0,0,0,3.19 MiB,keep,ordinary
L03.E115,tier_3_never_active,3,115,0,0,0,0,3.19 MiB,trim_ablation_candidate,globally_dead
L03.E124,tier_3_never_active,3,124,0,0,0,0,3.19 MiB,keep,ordinary
L04.E011,tier_3_never_active,4,11,0,0,0,0,3.19 MiB,keep,ordinary
L04.E020,tier_3_never_active,4,20,0,0,0,0,3.19 MiB,needs_more_data,cold_trim_candidate
L04.E031,tier_3_never_active,4,31,0,0,0,0,3.19 MiB,needs_more_data,cold_trim_candidate
L04.E060,tier_3_never_active,4,60,0,0,0,0,3.19 MiB,trim_ablation_candidate,globally_dead
L04.E118,tier_3_never_active,4,118,0,0,0,0,3.19 MiB,keep,low_use_merge_candidate
L05.E003,tier_3_never_active,5,3,0,0,0,0,3.19 MiB,keep,ordinary
L05.E012,tier_3_never_active,5,12,0,0,0,0,3.19 MiB,needs_more_data,globally_dead
L05.E019,tier_3_never_active,5,19,0,0,0,0,3.19 MiB,keep,ordinary
L05.E060,tier_3_never_active,5,60,0,0,0,0,3.19 MiB,keep,ordinary
L05.E074,tier_3_never_active,5,74,0,0,0,0,3.19 MiB,keep,low_use_merge_candidate
L05.E099,tier_3_never_active,5,99,0,0,0,0,3.19 MiB,keep,low_use_merge_candidate
L05.E103,tier_3_never_active,5,103,0,0,0,0,3.19 MiB,needs_more_data,globally_dead
L05.E124,tier_3_never_active,5,124,0,0,0,0,3.19 MiB,needs_more_data,cold_trim_candidate
L06.E020,tier_3_never_active,6,20,0,0,0,0,3.19 MiB,keep,ordinary
L06.E055,tier_3_never_active,6,55,0,0,0,0,3.19 MiB,keep,low_use_merge_candidate
L06.E063,tier_3_never_active,6,63,0,0,0,0,3.19 MiB,keep,low_use_merge_candidate
L06.E072,tier_3_never_active,6,72,0,0,0,0,3.19 MiB,keep,low_use_merge_candidate
L06.E076,tier_3_never_active,6,76,0,0,0,0,3.19 MiB,keep,low_use_merge_candidate
L06.E092,tier_3_never_active,6,92,0,0,0,0,3.19 MiB,keep,low_use_merge_candidate
L06.E112,tier_3_never_active,6,112,0,0,0,0,3.19 MiB,keep,low_use_merge_candidate
L06.E120,tier_3_never_active,6,120,0,0,0,0,3.19 MiB,needs_more_data,globally_dead
L07.E002,tier_3_never_active,7,2,0,0,0,0,3.19 MiB,needs_more_data,globally_dead
L07.E007,tier_3_never_active,7,7,0,0,0,0,3.19 MiB,keep,ordinary
L07.E034,tier_3_never_active,7,34,0,0,0,0,3.19 MiB,needs_more_data,globally_dead
L08.E016,tier_3_never_active,8,16,0,0,0,0,3.19 MiB,keep,low_use_merge_candidate
L08.E081,tier_3_never_active,8,81,0,0,0,0,3.19 MiB,keep,low_use_merge_candidate
L08.E083,tier_3_never_active,8,83,0,0,0,0,3.19 MiB,keep,low_use_merge_candidate
L08.E097,tier_3_never_active,8,97,0,0,0,0,3.19 MiB,keep,low_use_merge_candidate
L09.E002,tier_3_never_active,9,2,0,0,0,0,3.19 MiB,needs_more_data,cold_trim_candidate
L09.E006,tier_3_never_active,9,6,0,0,0,0,3.19 MiB,needs_more_data,globally_dead
L09.E007,tier_3_never_active,9,7,0,0,0,0,3.19 MiB,needs_more_data,cold_trim_candidate
L09.E011,tier_3_never_active,9,11,0,0,0,0,3.19 MiB,needs_more_data,cold_trim_candidate
L09.E028,tier_3_never_active,9,28,0,0,0,0,3.19 MiB,keep,ordinary
L09.E039,tier_3_never_active,9,39,0,0,0,0,3.19 MiB,keep,low_use_merge_candidate
L09.E070,tier_3_never_active,9,70,0,0,0,0,3.19 MiB,keep,ordinary
L09.E083,tier_3_never_active,9,83,0,0,0,0,3.19 MiB,needs_more_data,globally_dead
L09.E086,tier_3_never_active,9,86,0,0,0,0,3.19 MiB,needs_more_data,cold_trim_candidate
L10.E003,tier_3_never_active,10,3,0,0,0,0,3.19 MiB,needs_more_data,cold_trim_candidate
L10.E020,tier_3_never_active,10,20,0,0,0,0,3.19 MiB,needs_more_data,cold_trim_candidate
L10.E044,tier_3_never_active,10,44,0,0,0,0,3.19 MiB,trim_watchlist_cold,globally_dead
L10.E055,tier_3_never_active,10,55,0,0,0,0,3.19 MiB,needs_more_data,cold_trim_candidate
L10.E061,tier_3_never_active,10,61,0,0,0,0,3.19 MiB,keep,low_use_merge_candidate
L10.E080,tier_3_never_active,10,80,0,0,0,0,3.19 MiB,needs_more_data,cold_trim_candidate
L10.E109,tier_3_never_active,10,109,0,0,0,0,3.19 MiB,keep,low_use_merge_candidate
L10.E127,tier_3_never_active,10,127,0,0,0,0,3.19 MiB,needs_more_data,cold_trim_candidate
L11.E001,tier_3_never_active,11,1,0,0,0,0,3.19 MiB,needs_more_data,globally_dead
L11.E034,tier_3_never_active,11,34,0,0,0,0,3.19 MiB,keep,ordinary
L11.E042,tier_3_never_active,11,42,0,0,0,0,3.19 MiB,keep,low_use_merge_candidate
L11.E044,tier_3_never_active,11,44,0,0,0,0,3.19 MiB,needs_more_data,cold_trim_candidate
L11.E045,tier_3_never_active,11,45,0,0,0,0,3.19 MiB,keep,low_use_merge_candidate
L11.E075,tier_3_never_active,11,75,0,0,0,0,3.19 MiB,keep,low_use_merge_candidate
L11.E086,tier_3_never_active,11,86,0,0,0,0,3.19 MiB,needs_more_data,cold_trim_candidate
L11.E093,tier_3_never_active,11,93,0,0,0,0,3.19 MiB,needs_more_data,globally_dead
L11.E097,tier_3_never_active,11,97,0,0,0,0,3.19 MiB,needs_more_data,globally_dead
L11.E104,tier_3_never_active,11,104,0,0,0,0,3.19 MiB,keep,ordinary
L11.E115,tier_3_never_active,11,115,0,0,0,0,3.19 MiB,keep,ordinary
L11.E116,tier_3_never_active,11,116,0,0,0,0,3.19 MiB,needs_more_data,globally_dead
L12.E010,tier_3_never_active,12,10,0,0,0,0,3.19 MiB,needs_more_data,globally_dead
L12.E013,tier_3_never_active,12,13,0,0,0,0,3.19 MiB,needs_more_data,globally_dead
L12.E015,tier_3_never_active,12,15,0,0,0,0,3.19 MiB,keep,ordinary
L12.E029,tier_3_never_active,12,29,0,0,0,0,3.19 MiB,needs_more_data,cold_trim_candidate
L12.E030,tier_3_never_active,12,30,0,0,0,0,3.19 MiB,needs_more_data,cold_trim_candidate
L12.E035,tier_3_never_active,12,35,0,0,0,0,3.19 MiB,needs_more_data,cold_trim_candidate
L12.E041,tier_3_never_active,12,41,0,0,0,0,3.19 MiB,needs_more_data,globally_dead
L12.E047,tier_3_never_active,12,47,0,0,0,0,3.19 MiB,needs_more_data,cold_trim_candidate
L12.E059,tier_3_never_active,12,59,0,0,0,0,3.19 MiB,keep,ordinary
L12.E100,tier_3_never_active,12,100,0,0,0,0,3.19 MiB,needs_more_data,globally_dead
L12.E111,tier_3_never_active,12,111,0,0,0,0,3.19 MiB,keep,low_use_merge_candidate
L12.E124,tier_3_never_active,12,124,0,0,0,0,3.19 MiB,keep,low_use_merge_candidate
L13.E021,tier_3_never_active,13,21,0,0,0,0,3.19 MiB,needs_more_data,globally_dead
L13.E028,tier_3_never_active,13,28,0,0,0,0,3.19 MiB,needs_more_data,globally_dead
L13.E037,tier_3_never_active,13,37,0,0,0,0,3.19 MiB,needs_more_data,globally_dead
L13.E040,tier_3_never_active,13,40,0,0,0,0,3.19 MiB,needs_more_data,globally_dead
L13.E055,tier_3_never_active,13,55,0,0,0,0,3.19 MiB,trim_watchlist_cold,globally_dead
L13.E086,tier_3_never_active,13,86,0,0,0,0,3.19 MiB,needs_more_data,globally_dead
L13.E105,tier_3_never_active,13,105,0,0,0,0,3.19 MiB,needs_more_data,globally_dead
L13.E110,tier_3_never_active,13,110,0,0,0,0,3.19 MiB,needs_more_data,globally_dead
L13.E117,tier_3_never_active,13,117,0,0,0,0,3.19 MiB,needs_more_data,globally_dead
L13.E123,tier_3_never_active,13,123,0,0,0,0,3.19 MiB,needs_more_data,cold_trim_candidate
L14.E015,tier_3_never_active,14,15,0,0,0,0,3.19 MiB,needs_more_data,globally_dead
L14.E016,tier_3_never_active,14,16,0,0,0,0,3.19 MiB,needs_more_data,globally_dead
L14.E035,tier_3_never_active,14,35,0,0,0,0,3.19 MiB,needs_more_data,globally_dead
L14.E043,tier_3_never_active,14,43,0,0,0,0,3.19 MiB,keep,low_use_merge_candidate
L14.E048,tier_3_never_active,14,48,0,0,0,0,3.19 MiB,keep,ordinary
L14.E052,tier_3_never_active,14,52,0,0,0,0,3.19 MiB,keep,ordinary
L14.E063,tier_3_never_active,14,63,0,0,0,0,3.19 MiB,keep,ordinary
L14.E068,tier_3_never_active,14,68,0,0,0,0,3.19 MiB,keep,ordinary
L14.E076,tier_3_never_active,14,76,0,0,0,0,3.19 MiB,needs_more_data,globally_dead
L14.E098,tier_3_never_active,14,98,0,0,0,0,3.19 MiB,needs_more_data,cold_trim_candidate
L14.E099,tier_3_never_active,14,99,0,0,0,0,3.19 MiB,needs_more_data,cold_trim_candidate
L14.E110,tier_3_never_active,14,110,0,0,0,0,3.19 MiB,keep,ordinary
L14.E112,tier_3_never_active,14,112,0,0,0,0,3.19 MiB,needs_more_data,globally_dead
L14.E116,tier_3_never_active,14,116,0,0,0,0,3.19 MiB,needs_more_data,globally_dead
L15.E007,tier_3_never_active,15,7,0,0,0,0,3.19 MiB,keep,ordinary
L15.E050,tier_3_never_active,15,50,0,0,0,0,3.19 MiB,keep,low_use_merge_candidate
L15.E053,tier_3_never_active,15,53,0,0,0,0,3.19 MiB,needs_more_data,globally_dead
L15.E054,tier_3_never_active,15,54,0,0,0,0,3.19 MiB,needs_more_data,globally_dead
L15.E059,tier_3_never_active,15,59,0,0,0,0,3.19 MiB,needs_more_data,cold_trim_candidate
L15.E070,tier_3_never_active,15,70,0,0,0,0,3.19 MiB,keep,ordinary
L15.E073,tier_3_never_active,15,73,0,0,0,0,3.19 MiB,needs_more_data,cold_trim_candidate
L15.E094,tier_3_never_active,15,94,0,0,0,0,3.19 MiB,needs_more_data,globally_dead
L15.E100,tier_3_never_active,15,100,0,0,0,0,3.19 MiB,keep,ordinary
L15.E118,tier_3_never_active,15,118,0,0,0,0,3.19 MiB,keep,low_use_merge_candidate
L15.E123,tier_3_never_active,15,123,0,0,0,0,3.19 MiB,keep,ordinary
L16.E018,tier_3_never_active,16,18,0,0,0,0,3.19 MiB,needs_more_data,cold_trim_candidate
L16.E019,tier_3_never_active,16,19,0,0,0,0,3.19 MiB,keep,low_use_merge_candidate
L16.E034,tier_3_never_active,16,34,0,0,0,0,3.19 MiB,keep,ordinary
L16.E043,tier_3_never_active,16,43,0,0,0,0,3.19 MiB,keep,ordinary
L16.E069,tier_3_never_active,16,69,0,0,0,0,3.19 MiB,keep,low_use_merge_candidate
L16.E076,tier_3_never_active,16,76,0,0,0,0,3.19 MiB,keep,low_use_merge_candidate
L16.E085,tier_3_never_active,16,85,0,0,0,0,3.19 MiB,needs_more_data,globally_dead
L16.E086,tier_3_never_active,16,86,0,0,0,0,3.19 MiB,keep,ordinary
L16.E096,tier_3_never_active,16,96,0,0,0,0,3.19 MiB,keep,ordinary
L16.E103,tier_3_never_active,16,103,0,0,0,0,3.19 MiB,keep,ordinary
L16.E110,tier_3_never_active,16,110,0,0,0,0,3.19 MiB,keep,ordinary
L17.E002,tier_3_never_active,17,2,0,0,0,0,3.19 MiB,keep,ordinary
L17.E014,tier_3_never_active,17,14,0,0,0,0,3.19 MiB,keep,ordinary
L17.E030,tier_3_never_active,17,30,0,0,0,0,3.19 MiB,keep,ordinary
L17.E045,tier_3_never_active,17,45,0,0,0,0,3.19 MiB,keep,ordinary
L17.E061,tier_3_never_active,17,61,0,0,0,0,3.19 MiB,protect,ordinary
L17.E067,tier_3_never_active,17,67,0,0,0,0,3.19 MiB,needs_more_data,globally_dead
L17.E072,tier_3_never_active,17,72,0,0,0,0,3.19 MiB,needs_more_data,cold_trim_candidate
L17.E073,tier_3_never_active,17,73,0,0,0,0,3.19 MiB,keep,low_use_merge_candidate
L17.E092,tier_3_never_active,17,92,0,0,0,0,3.19 MiB,keep,ordinary
L17.E127,tier_3_never_active,17,127,0,0,0,0,3.19 MiB,keep,ordinary
L18.E017,tier_3_never_active,18,17,0,0,0,0,3.19 MiB,needs_more_data,globally_dead
L18.E023,tier_3_never_active,18,23,0,0,0,0,3.19 MiB,needs_more_data,cold_trim_candidate
L18.E044,tier_3_never_active,18,44,0,0,0,0,3.19 MiB,needs_more_data,globally_dead
L18.E050,tier_3_never_active,18,50,0,0,0,0,3.19 MiB,keep,ordinary
L18.E110,tier_3_never_active,18,110,0,0,0,0,3.19 MiB,needs_more_data,globally_dead
L18.E114,tier_3_never_active,18,114,0,0,0,0,3.19 MiB,needs_more_data,globally_dead
L18.E118,tier_3_never_active,18,118,0,0,0,0,3.19 MiB,needs_more_data,globally_dead
L19.E002,tier_3_never_active,19,2,0,0,0,0,3.19 MiB,keep,low_use_merge_candidate
L19.E012,tier_3_never_active,19,12,0,0,0,0,3.19 MiB,keep,ordinary
L19.E033,tier_3_never_active,19,33,0,0,0,0,3.19 MiB,keep,ordinary
L19.E034,tier_3_never_active,19,34,0,0,0,0,3.19 MiB,keep,ordinary
L19.E047,tier_3_never_active,19,47,0,0,0,0,3.19 MiB,keep,ordinary
L19.E065,tier_3_never_active,19,65,0,0,0,0,3.19 MiB,keep,low_use_merge_candidate
L19.E076,tier_3_never_active,19,76,0,0,0,0,3.19 MiB,needs_more_data,globally_dead
L19.E083,tier_3_never_active,19,83,0,0,0,0,3.19 MiB,keep,low_use_merge_candidate
L19.E096,tier_3_never_active,19,96,0,0,0,0,3.19 MiB,keep,ordinary
L19.E116,tier_3_never_active,19,116,0,0,0,0,3.19 MiB,keep,ordinary
L20.E004,tier_3_never_active,20,4,0,0,0,0,3.19 MiB,keep,ordinary
L20.E024,tier_3_never_active,20,24,0,0,0,0,3.19 MiB,needs_more_data,cold_trim_candidate
L20.E037,tier_3_never_active,20,37,0,0,0,0,3.19 MiB,keep,ordinary
L20.E098,tier_3_never_active,20,98,0,0,0,0,3.19 MiB,keep,ordinary
L20.E122,tier_3_never_active,20,122,0,0,0,0,3.19 MiB,keep,ordinary
L20.E124,tier_3_never_active,20,124,0,0,0,0,3.19 MiB,needs_more_data,globally_dead
L20.E126,tier_3_never_active,20,126,0,0,0,0,3.19 MiB,keep,ordinary
L21.E012,tier_3_never_active,21,12,0,0,0,0,3.19 MiB,needs_more_data,globally_dead
L21.E021,tier_3_never_active,21,21,0,0,0,0,3.19 MiB,keep,low_use_merge_candidate
L21.E051,tier_3_never_active,21,51,0,0,0,0,3.19 MiB,needs_more_data,globally_dead
L21.E060,tier_3_never_active,21,60,0,0,0,0,3.19 MiB,needs_more_data,cold_trim_candidate
L21.E063,tier_3_never_active,21,63,0,0,0,0,3.19 MiB,needs_more_data,globally_dead
L21.E076,tier_3_never_active,21,76,0,0,0,0,3.19 MiB,needs_more_data,globally_dead
L21.E104,tier_3_never_active,21,104,0,0,0,0,3.19 MiB,needs_more_data,cold_trim_candidate
L22.E018,tier_3_never_active,22,18,0,0,0,0,3.19 MiB,needs_more_data,globally_dead
L22.E023,tier_3_never_active,22,23,0,0,0,0,3.19 MiB,keep,ordinary
L22.E045,tier_3_never_active,22,45,0,0,0,0,3.19 MiB,keep,ordinary
L22.E061,tier_3_never_active,22,61,0,0,0,0,3.19 MiB,keep,ordinary
L23.E020,tier_3_never_active,23,20,0,0,0,0,3.19 MiB,needs_more_data,globally_dead
L23.E076,tier_3_never_active,23,76,0,0,0,0,3.19 MiB,keep,ordinary
L23.E088,tier_3_never_active,23,88,0,0,0,0,3.19 MiB,keep,ordinary
L24.E026,tier_3_never_active,24,26,0,0,0,0,3.19 MiB,needs_more_data,globally_dead
L24.E073,tier_3_never_active,24,73,0,0,0,0,3.19 MiB,keep,ordinary
L24.E076,tier_3_never_active,24,76,0,0,0,0,3.19 MiB,needs_more_data,cold_trim_candidate
L24.E103,tier_3_never_active,24,103,0,0,0,0,3.19 MiB,keep,ordinary
L25.E118,tier_3_never_active,25,118,0,0,0,0,3.19 MiB,keep,ordinary
L26.E002,tier_3_never_active,26,2,0,0,0,0,3.19 MiB,keep,ordinary
L26.E025,tier_3_never_active,26,25,0,0,0,0,3.19 MiB,needs_more_data,globally_dead
L26.E054,tier_3_never_active,26,54,0,0,0,0,3.19 MiB,keep,ordinary
L26.E065,tier_3_never_active,26,65,0,0,0,0,3.19 MiB,keep,ordinary
L26.E066,tier_3_never_active,26,66,0,0,0,0,3.19 MiB,keep,ordinary
L26.E069,tier_3_never_active,26,69,0,0,0,0,3.19 MiB,keep,low_use_merge_candidate
L26.E078,tier_3_never_active,26,78,0,0,0,0,3.19 MiB,keep,ordinary
L27.E085,tier_3_never_active,27,85,0,0,0,0,3.19 MiB,keep,ordinary
L28.E024,tier_3_never_active,28,24,0,0,0,0,3.19 MiB,keep,ordinary
