id,layer,expert,decision,active_runs,early_only_runs,later_active_runs,total_early_count,total_later_count,early_only_rate_active,later_share,trim_decision,personal_classification,early_only_labels,later_active_labels
L17.E079,17,79,evict_after_prefix_candidate,9,9,0,9,0,1.0,0.0,keep,ordinary,agent_orchestration_reasoning_off_timeline4;code_review_reasoning_off_timeline4;coding_agent_reasoning_off_timeline4;eval_design_reasoning_off_timeline4;instruction_following_reasoning_off_timeline4;local_system_ops_reasoning_off_timeline4;model_ops_reasoning_off_timeline4;personalization_memory_reasoning_off_timeline4;routine_monitoring_reasoning_off_timeline4,
L22.E000,22,0,evict_after_prefix_candidate,9,9,0,9,0,1.0,0.0,keep,ordinary,code_review_reasoning_off_timeline4;coding_agent_reasoning_off_timeline4;eval_design_reasoning_off_timeline4;expert_surgery_reasoning_off_timeline4;local_system_ops_reasoning_off_timeline4;model_ops_reasoning_off_timeline4;personal_research_reasoning_off_timeline4;social_support_reasoning_off_timeline4;tool_recovery_reasoning_off_timeline4,
L22.E117,22,117,evict_after_prefix_candidate,9,9,0,9,0,1.0,0.0,keep,ordinary,agent_orchestration_reasoning_off_timeline4;coding_agent_reasoning_off_timeline4;expert_surgery_reasoning_off_timeline4;instruction_following_reasoning_off_timeline4;personal_research_reasoning_off_timeline4;personalization_memory_reasoning_off_timeline4;routine_monitoring_reasoning_off_timeline4;social_support_reasoning_off_timeline4;tool_recovery_reasoning_off_timeline4,
L15.E084,15,84,evict_after_prefix_candidate,8,8,0,8,0,1.0,0.0,keep,ordinary,agent_orchestration_reasoning_off_timeline4;code_review_reasoning_off_timeline4;eval_design_reasoning_off_timeline4;expert_surgery_reasoning_off_timeline4;instruction_following_reasoning_off_timeline4;local_system_ops_reasoning_off_timeline4;model_ops_reasoning_off_timeline4;routine_monitoring_reasoning_off_timeline4,
L28.E099,28,99,evict_after_prefix_candidate,7,7,0,9,0,1.0,0.0,keep,ordinary,agent_orchestration_reasoning_off_timeline4;code_review_reasoning_off_timeline4;eval_design_reasoning_off_timeline4;instruction_following_reasoning_off_timeline4;model_ops_reasoning_off_timeline4;personalization_memory_reasoning_off_timeline4;routine_monitoring_reasoning_off_timeline4,
L12.E104,12,104,evict_after_prefix_candidate,6,6,0,6,0,1.0,0.0,keep,ordinary,code_review_reasoning_off_timeline4;eval_design_reasoning_off_timeline4;instruction_following_reasoning_off_timeline4;model_ops_reasoning_off_timeline4;personalization_memory_reasoning_off_timeline4;routine_monitoring_reasoning_off_timeline4,
L13.E087,13,87,evict_after_prefix_candidate,6,6,0,6,0,1.0,0.0,keep,ordinary,agent_orchestration_reasoning_off_timeline4;eval_design_reasoning_off_timeline4;expert_surgery_reasoning_off_timeline4;personal_research_reasoning_off_timeline4;social_support_reasoning_off_timeline4;tool_recovery_reasoning_off_timeline4,
L16.E058,16,58,evict_after_prefix_candidate,5,5,0,6,0,1.0,0.0,keep,ordinary,agent_orchestration_reasoning_off_timeline4;code_review_reasoning_off_timeline4;personalization_memory_reasoning_off_timeline4;routine_monitoring_reasoning_off_timeline4;tool_recovery_reasoning_off_timeline4,
L27.E013,27,13,evict_after_prefix_candidate,5,5,0,6,0,1.0,0.0,keep,ordinary,code_review_reasoning_off_timeline4;eval_design_reasoning_off_timeline4;local_system_ops_reasoning_off_timeline4;model_ops_reasoning_off_timeline4;routine_monitoring_reasoning_off_timeline4,
L05.E035,5,35,evict_after_prefix_candidate,5,5,0,5,0,1.0,0.0,keep,low_use_merge_candidate,code_review_reasoning_off_timeline4;coding_agent_reasoning_off_timeline4;local_system_ops_reasoning_off_timeline4;model_ops_reasoning_off_timeline4;tool_recovery_reasoning_off_timeline4,
