step,stage,added_expert,tier,layer,expert,early_only_runs,active_runs,total_early_count,total_later_count,cumulative_experts,cumulative_human,candidate_file
1,early_then_silent_ladder_no_L08_E054_step_001_L26_E093,L26.E093,tier_0_all_timelines,26,93,13,13,42,0,1,3.19 MiB,data/surgery_experiments/incremental_ladder_no_L08_E054/step_001_L26_E093.txt
2,early_then_silent_ladder_no_L08_E054_step_002_L09_E029,L09.E029,tier_0_all_timelines,9,29,13,13,39,0,2,6.38 MiB,data/surgery_experiments/incremental_ladder_no_L08_E054/step_002_L09_E029.txt
3,early_then_silent_ladder_no_L08_E054_step_003_L16_E025,L16.E025,tier_0_all_timelines,16,25,13,13,30,0,3,9.57 MiB,data/surgery_experiments/incremental_ladder_no_L08_E054/step_003_L16_E025.txt
4,early_then_silent_ladder_no_L08_E054_step_004_L02_E025,L02.E025,tier_0_all_timelines,2,25,13,13,26,0,4,12.76 MiB,data/surgery_experiments/incremental_ladder_no_L08_E054/step_004_L02_E025.txt
5,early_then_silent_ladder_no_L08_E054_step_005_L00_E036,L00.E036,tier_0_all_timelines,0,36,13,13,13,0,5,15.95 MiB,data/surgery_experiments/incremental_ladder_no_L08_E054/step_005_L00_E036.txt
6,early_then_silent_ladder_no_L08_E054_step_006_L04_E083,L04.E083,tier_0_all_timelines,4,83,13,13,13,0,6,19.14 MiB,data/surgery_experiments/incremental_ladder_no_L08_E054/step_006_L04_E083.txt
7,early_then_silent_ladder_no_L08_E054_step_007_L05_E096,L05.E096,tier_0_all_timelines,5,96,13,13,13,0,7,22.33 MiB,data/surgery_experiments/incremental_ladder_no_L08_E054/step_007_L05_E096.txt
8,early_then_silent_ladder_no_L08_E054_step_008_L27_E086,L27.E086,tier_0_all_timelines,27,86,13,13,13,0,8,25.52 MiB,data/surgery_experiments/incremental_ladder_no_L08_E054/step_008_L27_E086.txt
9,early_then_silent_ladder_no_L08_E054_step_009_L02_E034,L02.E034,tier_1_frequent,2,34,10,10,10,0,9,28.71 MiB,data/surgery_experiments/incremental_ladder_no_L08_E054/step_009_L02_E034.txt
10,early_then_silent_ladder_no_L08_E054_step_010_L17_E079,L17.E079,tier_1_frequent,17,79,9,9,9,0,10,31.90 MiB,data/surgery_experiments/incremental_ladder_no_L08_E054/step_010_L17_E079.txt
